Company,Position,GL_Job,Dept
Canadian Niagara Hotels Inc,Res Internet Agent,543270084-Internet R,007401-Reservations
Canadian Niagara Hotels Inc,Res Lead Agent,543570084-Res Lead A,007401-Reservations
Canadian Niagara Hotels Inc,Res Sls Agt-Marr,543870084-MFV ResAge,007401-Reservations
Canadian Niagara Hotels Inc,Reserv Ld Ag MFV,543770084-MFV ResLAg,007401-Reservations
Canadian Niagara Hotels Inc,Reservation Agent,543370084-Res Sales,007401-Reservations
Canadian Niagara Hotels Inc,Supervisor,520070084 Sup Hrly Res,007401-Reservations
Canadian Niagara Hotels Inc,Retail GM,510035055-MLS Mgmt Wages,008000-Retail Outlets
Canadian Niagara Hotels Inc,GCG Sales Assoc,540034055-Hrly Ret F,008010-Great Canadian Gifts
Canadian Niagara Hotels Inc,GCG Stock Lead,547034055-GCG HR Sup,008010-Great Canadian Gifts
Canadian Niagara Hotels Inc,GCG Supervisor,520034055-GCG Super Wages,008010-Great Canadian Gifts
Canadian Niagara Hotels Inc,GCG-Stock Assoc.,544234055 GCG Stock,008010-Great Canadian Gifts
Canadian Niagara Hotels Inc,Supervisor,520034055-GCG Super Wages,008010-Great Canadian Gifts
Canadian Niagara Hotels Inc,MLS-Key Holder,530035055-MLS Key,008030-Maple Leaf Gifts
Canadian Niagara Hotels Inc,MLS-Sales Assoc.,540035055-Hr No Un W,008030-Maple Leaf Gifts
Canadian Niagara Hotels Inc,Supervisor,520035055-MLS Sup Wages,008030-Maple Leaf Gifts
Canadian Niagara Hotels Inc,Assistant GM,510030055-Mgmt Sal,008040-Hershey
Canadian Niagara Hotels Inc,Hershey Baker,540030055-Hr No Un W,008040-Hershey
Canadian Niagara Hotels Inc,Hersheys GM,510030055-Mgmt Sal,008040-Hershey
Canadian Niagara Hotels Inc,Sales Associate,540030055-Hr No Un W,008040-Hershey
Canadian Niagara Hotels Inc,Supervisor,520030055-Spvr Wage,008040-Hershey
Canadian Niagara Hotels Inc,Attractions Mgr,510043060 Mgmt Adm Sal,009000-Attractions Administration
Canadian Niagara Hotels Inc,Games Mgr.,530543061-Adv.Games,009000-Attractions Administration
Canadian Niagara Hotels Inc,Operations Mgr.,510043060 Mgmt Adm Sal,009000-Attractions Administration
Canadian Niagara Hotels Inc,Cleaner,554610025-Dishwasher,009001-Attractions - Ride Ops & Couponers
Canadian Niagara Hotels Inc,Supervisor,540043062-Ride Opera,009001-Attractions - Ride Ops & Couponers
Canadian Niagara Hotels Inc,Supervisor,520040060 Supervisor Wages,009001-Attractions - Ride Ops & Couponers
